timestamp,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.880000,2.850566,0.184491,-2.861733,-2.120511,-0.008531,1.708385,0.679182
0.890000,2.850570,0.184489,-2.861736,-2.120512,-0.008528,1.708380,0.679175
0.900000,2.850570,0.184491,-2.861733,-2.120510,-0.008532,1.708382,0.679182
0.910000,2.850566,0.184489,-2.861729,-2.120510,-0.008531,1.708381,0.679170
0.920000,2.850567,0.184492,-2.861738,-2.120512,-0.008530,1.708385,0.679177
0.930000,2.850569,0.184489,-2.861735,-2.120514,-0.008532,1.708378,0.679177
0.940000,2.850568,0.184489,-2.861735,-2.120514,-0.008529,1.708383,0.679180
0.950000,2.850570,0.184492,-2.861734,-2.120512,-0.008531,1.708381,0.679176
0.960000,2.850568,0.184487,-2.861735,-2.120514,-0.008528,1.708383,0.679176
0.970000,2.850567,0.184485,-2.861735,-2.120511,-0.008528,1.708382,0.679180
0.980000,2.850569,0.184487,-2.861733,-2.120512,-0.008532,1.708381,0.679170
0.990000,2.850569,0.184489,-2.861735,-2.120512,-0.008532,1.708382,0.679171
1.000000,2.850565,0.184485,-2.861735,-2.120511,-0.008531,1.708383,0.679180
1.010000,2.850569,0.184490,-2.861733,-2.120511,-0.008531,1.708385,0.679173
1.020000,2.850570,0.184487,-2.861737,-2.120512,-0.008531,1.708385,0.679171
1.030000,2.850570,0.184491,-2.861733,-2.120514,-0.008532,1.708383,0.679178
1.040000,2.850570,0.184491,-2.861733,-2.120512,-0.008533,1.708383,0.679175
1.050000,2.850566,0.184489,-2.861733,-2.120510,-0.008530,1.708383,0.679174
1.060000,2.850569,0.184491,-2.861735,-2.120516,-0.008532,1.708382,0.679179
1.070000,2.850567,0.184491,-2.861737,-2.120516,-0.008532,1.708384,0.679173
1.080000,2.850567,0.184487,-2.861737,-2.120510,-0.008532,1.708384,0.679170
1.090000,2.850569,0.184485,-2.861735,-2.120515,-0.008529,1.708380,0.679170
1.100000,2.850569,0.184487,-2.861735,-2.120514,-0.008531,1.708382,0.679173
1.110000,2.850569,0.184491,-2.861737,-2.120518,-0.008532,1.708382,0.679173
1.120000,2.850569,0.184489,-2.861735,-2.120512,-0.008529,1.708383,0.679173
1.130000,2.850569,0.184491,-2.861733,-2.120514,-0.008532,1.708381,0.679177
1.140000,2.850569,0.184488,-2.861733,-2.120512,-0.008533,1.708380,0.679171
1.150000,2.850570,0.184486,-2.861735,-2.120520,-0.008532,1.708377,0.679175
1.160000,2.850570,0.184490,-2.861733,-2.120518,-0.008532,1.708377,0.679171
1.170000,2.850570,0.184487,-2.861733,-2.120514,-0.008532,1.708383,0.679176
1.180000,2.850569,0.184489,-2.861735,-2.120511,-0.008530,1.708385,0.679178
1.190000,2.850572,0.184491,-2.861735,-2.120516,-0.008527,1.708382,0.679169
1.200000,2.850574,0.184489,-2.861731,-2.120514,-0.008532,1.708383,0.679180
1.210000,2.850570,0.184490,-2.861733,-2.120512,-0.008532,1.708384,0.679172
1.220000,2.850570,0.184487,-2.861738,-2.120512,-0.008531,1.708382,0.679171
1.230000,2.850569,0.184487,-2.861733,-2.120516,-0.008530,1.708382,0.679174
1.240000,2.850569,0.184487,-2.861735,-2.120512,-0.008530,1.708380,0.679173
1.250000,2.850569,0.184490,-2.861733,-2.120512,-0.008532,1.708383,0.679179
1.260000,2.850573,0.184492,-2.861737,-2.120516,-0.008532,1.708379,0.679176
1.270000,2.850565,0.184491,-2.861734,-2.120511,-0.008532,1.708381,0.679180
1.280000,2.850570,0.184489,-2.861735,-2.120511,-0.008530,1.708378,0.679173
1.290000,2.850575,0.184487,-2.861737,-2.120516,-0.008533,1.708381,0.679174
1.300000,2.850569,0.184488,-2.861737,-2.120512,-0.008532,1.708384,0.679178
1.310000,2.850571,0.184489,-2.861735,-2.120512,-0.008532,1.708381,0.679169
1.320000,2.850570,0.184488,-2.861735,-2.120516,-0.008529,1.708380,0.679177
1.330000,2.850573,0.184491,-2.861737,-2.120511,-0.008532,1.708379,0.679175
1.340000,2.850569,0.184488,-2.861738,-2.120511,-0.008533,1.708380,0.679175
1.350000,2.850569,0.184489,-2.861737,-2.120516,-0.008531,1.708377,0.679174
1.360000,2.850571,0.184492,-2.861733,-2.120513,-0.008532,1.708384,0.679180
1.370000,2.850571,0.184488,-2.861737,-2.120512,-0.008532,1.708386,0.679176
1.380000,2.850572,0.184484,-2.861733,-2.120512,-0.008532,1.708383,0.679176
1.390000,2.850572,0.184487,-2.861737,-2.120512,-0.008532,1.708382,0.679170
1.400000,2.850576,0.184489,-2.861733,-2.120515,-0.008533,1.708383,0.679172
1.410000,2.850573,0.184489,-2.861735,-2.120511,-0.008528,1.708378,0.679179
1.420000,2.850570,0.184489,-2.861735,-2.120511,-0.008532,1.708382,0.679169
1.430000,2.850570,0.184488,-2.861735,-2.120514,-0.008531,1.708380,0.679179
1.440000,2.850569,0.184488,-2.861731,-2.120512,-0.008531,1.708383,0.679171
1.450000,2.850571,0.184489,-2.861739,-2.120516,-0.008532,1.708379,0.679174
1.460000,2.850574,0.184487,-2.861736,-2.120512,-0.008527,1.708379,0.679172
1.470000,2.850571,0.184491,-2.861735,-2.120509,-0.008533,1.708380,0.679176
1.480000,2.850572,0.184489,-2.861733,-2.120511,-0.008533,1.708382,0.679174
1.490000,2.850574,0.184489,-2.861733,-2.120511,-0.008532,1.708380,0.679178
1.500000,2.850576,0.184485,-2.861737,-2.120513,-0.008532,1.708382,0.679175
1.510000,2.850572,0.184491,-2.861735,-2.120516,-0.008532,1.708382,0.679172
1.520000,2.850570,0.184491,-2.861735,-2.120514,-0.008532,1.708379,0.679171
1.530000,2.850572,0.184489,-2.861733,-2.120511,-0.008532,1.708380,0.679177
1.540000,2.850574,0.184492,-2.861738,-2.120512,-0.008531,1.708379,0.679174
1.550000,2.850571,0.184487,-2.861735,-2.120515,-0.008532,1.708378,0.679176
1.560000,2.850571,0.184486,-2.861735,-2.120514,-0.008531,1.708378,0.679174
1.570000,2.850570,0.184490,-2.861735,-2.120513,-0.008529,1.708382,0.679176
1.580000,2.850570,0.184488,-2.861737,-2.120514,-0.008532,1.708377,0.679176
1.590000,2.850570,0.184489,-2.861737,-2.120514,-0.008532,1.708379,0.679177
1.600000,2.850570,0.184489,-2.861735,-2.120513,-0.008532,1.708385,0.679169
1.610000,2.850572,0.184489,-2.861735,-2.120516,-0.008532,1.708379,0.679171
1.620000,2.850572,0.184489,-2.861733,-2.120515,-0.008532,1.708378,0.679170
1.630000,2.850574,0.184491,-2.861735,-2.120511,-0.008531,1.708380,0.679178
1.640000,2.850576,0.184488,-2.861733,-2.120513,-0.008531,1.708384,0.679170
1.650000,2.850572,0.184490,-2.861737,-2.120516,-0.008532,1.708378,0.679172
1.660000,2.850576,0.184486,-2.861735,-2.120516,-0.008531,1.708379,0.679177
1.670000,2.850574,0.184484,-2.861736,-2.120512,-0.008532,1.708379,0.679174
1.680000,2.850574,0.184485,-2.861735,-2.120515,-0.008532,1.708382,0.679173
1.690000,2.850572,0.184488,-2.861733,-2.120516,-0.008532,1.708379,0.679174
1.700000,2.850572,0.184488,-2.861733,-2.120517,-0.008532,1.708382,0.679173
1.710000,2.850576,0.184486,-2.861735,-2.120517,-0.008532,1.708380,0.679174
1.720000,2.850572,0.184490,-2.861735,-2.120514,-0.008532,1.708383,0.679174
